date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:52:57	110/110	---MC-	200	added ('OK')	text/plain	date:Wed,%2013%20Mar%202024%2007:22:55%20GMT	https://kgswc.org/robots.txt		(from )
12:52:59	70367/70367	---MC-	200	added ('OK')	text/html	date:Wed,%2013%20Mar%202024%2007:22:56%20GMT	https://kgswc.org/	D:/KGSWC/kgswc/kgswc.org/index.html	(from )
12:53:01	1613/1613	---MC-	200	added ('OK')	application/rss+xml	etag:%2236296aff63081bfc269603f5168d12b2%22	https://kgswc.org/feed/	D:/KGSWC/kgswc/kgswc.org/feed/index.html	(from https://kgswc.org/)
12:53:01	1598/1598	---MC-	200	added ('OK')	application/rss+xml	etag:%2236296aff63081bfc269603f5168d12b2%22	https://kgswc.org/comments/feed/	D:/KGSWC/kgswc/kgswc.org/comments/feed/index.html	(from https://kgswc.org/)
12:53:01	263224/263224	---MCZ	200	added ('OK')	text/css	date:Thu,%2024%20Mar%202022%2017:09:53%20GMT	https://kgswc.org/wp-content/plugins/pagelayer/css/givecss.php?give=pagelayer-frontend.css%2Cnivo-lightbox.css%2Canimate.min.css%2Cowl.carousel.min.css%2Cowl.theme.default.min.css%2Cfont-awesome5.min.css&premium&ver=1.6.4	D:/KGSWC/kgswc/kgswc.org/wp-content/plugins/pagelayer/css/givecss09e8.css	(from https://kgswc.org/)
12:53:02	2644/2644	---M--	200	added ('OK')	text/css	date:Thu,%2024%20Mar%202022%2017:09:53%20GMT	https://kgswc.org/wp-content/uploads/popularfx-templates/financy/style.css?ver=1.2.3	D:/KGSWC/kgswc/kgswc.org/wp-content/uploads/popularfx-templates/financy/style9632.css	(from https://kgswc.org/)
12:53:02	8951/8951	---M--	200	added ('OK')	text/css	date:Thu,%2024%20Mar%202022%2017:09:53%20GMT	https://kgswc.org/wp-content/themes/popularfx/sidebar.css?ver=1.2.3	D:/KGSWC/kgswc/kgswc.org/wp-content/themes/popularfx/sidebar9632.css	(from https://kgswc.org/)
12:53:03	13577/13577	---M--	200	added ('OK')	text/javascript	date:Wed,%2009%20Aug%202023%2006:05:19%20GMT	https://kgswc.org/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	D:/KGSWC/kgswc/kgswc.org/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://kgswc.org/)
12:53:03	110147/110147	---M--	200	added ('OK')	text/css	date:Wed,%2031%20Jan%202024%2018:03:29%20GMT	https://kgswc.org/wp-includes/css/dist/block-library/style.min.css?ver=6.4.3	D:/KGSWC/kgswc/kgswc.org/wp-includes/css/dist/block-library/style.min84fc.css	(from https://kgswc.org/)
12:53:04	115809/115809	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2024%20Mar%202022%2017:09:53%20GMT	https://kgswc.org/wp-content/plugins/pagelayer/js/givejs.php?give=pagelayer-frontend.js%2Cnivo-lightbox.min.js%2Cwow.min.js%2Cjquery-numerator.js%2CsimpleParallax.min.js%2Cowl.carousel.min.js&premium&ver=1.6.4	D:/KGSWC/kgswc/kgswc.org/wp-content/plugins/pagelayer/js/givejs7381.php	(from https://kgswc.org/)
12:53:04	87553/87553	---M--	200	added ('OK')	text/javascript	date:Wed,%2008%20Nov%202023%2017:06:26%20GMT	https://kgswc.org/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	D:/KGSWC/kgswc/kgswc.org/wp-includes/js/jquery/jquery.minf43b.js	(from https://kgswc.org/)
12:53:05	3583/3583	---MC-	200	added ('OK')	application/json	date:Wed,%2013%20Mar%202024%2007:23:03%20GMT	https://kgswc.org/wp-json/wp/v2/pages/22	D:/KGSWC/kgswc/kgswc.org/wp-json/wp/v2/pages/22.json	(from https://kgswc.org/)
12:53:05	768/768	---MC-	200	added ('OK')	text/xml	date:Wed,%2013%20Mar%202024%2007:23:04%20GMT	https://kgswc.org/xmlrpc.php?rsd	D:/KGSWC/kgswc/kgswc.org/xmlrpc0db0.php	(from https://kgswc.org/)
12:53:06	1953/1953	---MC-	200	added ('OK')	application/json	date:Wed,%2013%20Mar%202024%2007:23:05%20GMT	https://kgswc.org/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fkgswc.org%2F	D:/KGSWC/kgswc/kgswc.org/wp-json/oembed/1.0/embed3c71.json	(from https://kgswc.org/)
12:53:07	173316/173316	---MC-	200	added ('OK')	application/json	date:Wed,%2013%20Mar%202024%2007:23:03%20GMT	https://kgswc.org/wp-json/	D:/KGSWC/kgswc/kgswc.org/wp-json/index.html	(from https://kgswc.org/)
12:53:07	2090/2090	---MC-	200	added ('OK')	text/xml	date:Wed,%2013%20Mar%202024%2007:23:05%20GMT	https://kgswc.org/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fkgswc.org%2F&format=xml	D:/KGSWC/kgswc/kgswc.org/wp-json/oembed/1.0/embed6866	(from https://kgswc.org/)
12:53:08	30861/30861	---M--	200	added ('OK')	image/png	date:Wed,%2008%20Feb%202023%2014:58:46%20GMT	https://kgswc.org/wp-content/uploads/2023/02/universidadzaragozalogo.png	D:/KGSWC/kgswc/kgswc.org/wp-content/uploads/2023/02/universidadzaragozalogo.png	(from https://kgswc.org/)
12:53:09	66022/66022	---MC-	200	added ('OK')	text/html	date:Wed,%2013%20Mar%202024%2007:23:07%20GMT	https://kgswc.org/committee/	D:/KGSWC/kgswc/kgswc.org/committee/index.html	(from https://kgswc.org/)
12:53:10	223705/223705	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Feb%202023%2015:13:25%20GMT	https://kgswc.org/wp-content/uploads/2023/02/logo_2023.png	D:/KGSWC/kgswc/kgswc.org/wp-content/uploads/2023/02/logo_2023.png	(from https://kgswc.org/)
12:53:11	59378/59378	---MC-	200	added ('OK')	text/html	date:Wed,%2013%20Mar%202024%2007:23:08%20GMT	https://kgswc.org/call-of-papers/	D:/KGSWC/kgswc/kgswc.org/call-of-papers/index.html	(from https://kgswc.org/)
12:53:11	507047/507047	---M--	200	added ('OK')	image/jpeg	date:Tue,%2007%20Nov%202023%2010:13:27%20GMT	https://kgswc.org/wp-content/uploads/2023/11/DAY13.jpg	D:/KGSWC/kgswc/kgswc.org/wp-content/uploads/2023/11/DAY13.jpg	(from https://kgswc.org/)
12:53:16	55843/55843	---MC-	200	added ('OK')	text/html	date:Wed,%2013%20Mar%202024%2007:23:10%20GMT	https://kgswc.org/important-dates/	D:/KGSWC/kgswc/kgswc.org/important-dates/index.html	(from https://kgswc.org/)
12:53:16	637386/637386	---M--	200	added ('OK')	image/png	date:Thu,%2024%20Mar%202022%2017:09:53%20GMT	https://kgswc.org/wp-content/uploads/2022/02/entrada-1024x433-1.png	D:/KGSWC/kgswc/kgswc.org/wp-content/uploads/2022/02/entrada-1024x433-1.png	(from https://kgswc.org/)
12:53:16	72137/72137	---MC-	200	added ('OK')	text/html	date:Wed,%2013%20Mar%202024%2007:23:10%20GMT	https://kgswc.org/keynote-speakers/	D:/KGSWC/kgswc/kgswc.org/keynote-speakers/index.html	(from https://kgswc.org/)
12:53:23	57765/57765	---MC-	200	added ('OK')	text/html	date:Wed,%2013%20Mar%202024%2007:23:16%20GMT	https://kgswc.org/venue/	D:/KGSWC/kgswc/kgswc.org/venue/index.html	(from https://kgswc.org/)
12:53:23	58282/58282	---MC-	200	added ('OK')	text/html	date:Wed,%2013%20Mar%202024%2007:23:16%20GMT	https://kgswc.org/journal-publications/	D:/KGSWC/kgswc/kgswc.org/journal-publications/index.html	(from https://kgswc.org/)
12:53:24	455544/455544	---M--	200	added ('OK')	image/jpeg	date:Tue,%2007%20Nov%202023%2010:14:41%20GMT	https://kgswc.org/wp-content/uploads/2023/11/DAY15.jpg	D:/KGSWC/kgswc/kgswc.org/wp-content/uploads/2023/11/DAY15.jpg	(from https://kgswc.org/)
12:53:26	79657/79657	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Oct%202023%2021:09:48%20GMT	https://kgswc.org/wp-content/uploads/2023/10/FOOTER.png	D:/KGSWC/kgswc/kgswc.org/wp-content/uploads/2023/10/FOOTER.png	(from https://kgswc.org/)
12:53:27	55644/55644	---MC-	200	added ('OK')	text/html	date:Wed,%2013%20Mar%202024%2007:23:23%20GMT	https://kgswc.org/hackathon/	D:/KGSWC/kgswc/kgswc.org/hackathon/index.html	(from https://kgswc.org/)
12:53:27	55713/55713	---MC-	200	added ('OK')	text/html	date:Wed,%2013%20Mar%202024%2007:23:23%20GMT	https://kgswc.org/previous-events/	D:/KGSWC/kgswc/kgswc.org/previous-events/index.html	(from https://kgswc.org/)
12:53:27	4386/4386	---M--	200	added ('OK')	text/javascript	date:Thu,%2024%20Mar%202022%2017:09:53%20GMT	https://kgswc.org/wp-content/themes/popularfx/js/navigation.js?ver=1.2.3	D:/KGSWC/kgswc/kgswc.org/wp-content/themes/popularfx/js/navigation9632.js	(from https://kgswc.org/)
